ControllerAgent_MissReward vs TotalAgent_Origin,,,,,,
열1,열2,열3,열4,공격 수,열6,열7
68,TestTotalAgent_Origin(Clone),0,0,12,4,1
69,TestControllerAgent_MissReward(Clone),0,0,12,4,1
69,TestTotalAgent_Origin(Clone),1,4,14,0,0
70,TestControllerAgent_MissReward(Clone),1,4,5,1,0
70,TestTotalAgent_Origin(Clone),0,1,7,4,1
71,TestControllerAgent_MissReward(Clone),1,4,17,2,0
71,TestTotalAgent_Origin(Clone),0,2,18,4,1
72,TestControllerAgent_MissReward(Clone),0,0,5,4,1
72,TestTotalAgent_Origin(Clone),1,4,10,0,0
73,TestControllerAgent_MissReward(Clone),1,4,24,1,0
73,TestTotalAgent_Origin(Clone),0,1,26,4,1
74,TestControllerAgent_MissReward(Clone),1,4,8,1,0
74,TestTotalAgent_Origin(Clone),0,1,11,4,1
75,TestControllerAgent_MissReward(Clone),1,4,8,0,0
75,TestTotalAgent_Origin(Clone),0,0,11,4,1
76,TestControllerAgent_MissReward(Clone),1,4,8,2,0
76,TestTotalAgent_Origin(Clone),0,2,10,4,1
77,TestControllerAgent_MissReward(Clone),1,4,8,1,0
77,TestTotalAgent_Origin(Clone),0,1,11,4,1
78,TestControllerAgent_MissReward(Clone),1,4,29,0,0
78,TestTotalAgent_Origin(Clone),0,0,32,4,1
79,TestControllerAgent_MissReward(Clone),1,4,7,2,0
79,TestTotalAgent_Origin(Clone),0,2,9,4,1
80,TestControllerAgent_MissReward(Clone),1,4,5,1,0
80,TestTotalAgent_Origin(Clone),0,1,8,4,1
81,TestControllerAgent_MissReward(Clone),1,4,9,0,0
81,TestTotalAgent_Origin(Clone),0,0,12,4,1
82,TestControllerAgent_MissReward(Clone),0,1,33,4,1
82,TestTotalAgent_Origin(Clone),1,4,30,1,0
83,TestControllerAgent_MissReward(Clone),1,4,18,3,0
83,TestTotalAgent_Origin(Clone),0,3,17,4,1
84,TestControllerAgent_MissReward(Clone),1,4,6,1,0
84,TestTotalAgent_Origin(Clone),0,1,8,4,1
85,TestControllerAgent_MissReward(Clone),1,4,9,1,0
85,TestTotalAgent_Origin(Clone),0,1,12,4,1
86,TestControllerAgent_MissReward(Clone),0,1,23,4,1
86,TestTotalAgent_Origin(Clone),1,4,21,1,0
87,TestControllerAgent_MissReward(Clone),1,4,8,0,0
87,TestTotalAgent_Origin(Clone),0,0,10,4,1
88,TestControllerAgent_MissReward(Clone),0,1,19,4,1
88,TestTotalAgent_Origin(Clone),1,4,17,1,0
89,TestControllerAgent_MissReward(Clone),1,4,9,2,0
89,TestTotalAgent_Origin(Clone),0,2,9,4,1
90,TestControllerAgent_MissReward(Clone),1,4,22,3,0
90,TestTotalAgent_Origin(Clone),0,3,26,4,1
91,TestControllerAgent_MissReward(Clone),0,0,17,4,1
91,TestTotalAgent_Origin(Clone),1,4,13,0,0
92,TestControllerAgent_MissReward(Clone),1,4,14,0,0
92,TestTotalAgent_Origin(Clone),0,0,16,4,1
93,TestControllerAgent_MissReward(Clone),1,4,26,3,0
93,TestTotalAgent_Origin(Clone),0,3,33,4,1
94,TestControllerAgent_MissReward(Clone),1,4,6,0,0
94,TestTotalAgent_Origin(Clone),0,0,9,4,1
