열1,열2,열3,열4,열5,열6,열7,열8
80,TestControllerAgent_Origin(Clone),0,0,14,4,1,7.516747
80,TestTotalAgent_Origin(Clone),1,4,10,0,0,977.7849
81,TestControllerAgent_Origin(Clone),1,4,5,0,0,4.669574
81,TestTotalAgent_Origin(Clone),0,0,8,4,1,982.4545
82,TestControllerAgent_Origin(Clone),0,3,31,4,1,17.11463
82,TestTotalAgent_Origin(Clone),1,4,30,3,0,999.5693
83,TestControllerAgent_Origin(Clone),1,4,19,2,0,11.73183
83,TestTotalAgent_Origin(Clone),0,2,20,4,1,1011.301
84,TestControllerAgent_Origin(Clone),1,4,6,2,0,5.189292
84,TestTotalAgent_Origin(Clone),0,2,8,4,1,1016.49
85,TestControllerAgent_Origin(Clone),1,4,11,2,0,7.597971
85,TestTotalAgent_Origin(Clone),0,2,13,4,1,1024.089
86,TestControllerAgent_Origin(Clone),0,3,30,4,1,16.5409
86,TestTotalAgent_Origin(Clone),1,4,28,3,0,1040.63
87,TestControllerAgent_Origin(Clone),0,2,26,4,1,15.14714
87,TestTotalAgent_Origin(Clone),1,4,24,2,0,1055.776
88,TestControllerAgent_Origin(Clone),1,4,60,3,0,32.27196
88,TestTotalAgent_Origin(Clone),0,3,58,4,1,1088.049
89,TestControllerAgent_Origin(Clone),0,0,32,4,1,16.50307
89,TestTotalAgent_Origin(Clone),1,4,28,0,0,1104.552
90,TestControllerAgent_Origin(Clone),1,4,12,0,0,6.173969
90,TestTotalAgent_Origin(Clone),0,0,14,4,1,1110.726
91,TestControllerAgent_Origin(Clone),0,1,21,4,1,13.38775
91,TestTotalAgent_Origin(Clone),1,4,20,1,0,1124.114
92,TestControllerAgent_Origin(Clone),1,4,7,2,0,4.806808
92,TestTotalAgent_Origin(Clone),0,2,7,4,1,1128.921
93,TestControllerAgent_Origin(Clone),1,4,38,3,0,21.88333
93,TestTotalAgent_Origin(Clone),0,3,38,4,1,1150.804
94,TestControllerAgent_Origin(Clone),1,4,26,3,0,15.32495
94,TestTotalAgent_Origin(Clone),0,3,27,4,1,1166.128
95,TestControllerAgent_Origin(Clone),1,4,46,3,0,25.58691
95,TestTotalAgent_Origin(Clone),0,3,46,4,1,1191.715
96,TestControllerAgent_Origin(Clone),1,4,19,3,0,11.77161
96,TestTotalAgent_Origin(Clone),0,3,20,4,1,1203.487
97,TestControllerAgent_Origin(Clone),1,4,6,0,0,6.667934
97,TestTotalAgent_Origin(Clone),0,0,12,4,1,1210.156
98,TestControllerAgent_Origin(Clone),1,4,8,2,0,6.150293
98,TestTotalAgent_Origin(Clone),0,2,10,4,1,1216.306
99,TestControllerAgent_Origin(Clone),1,4,35,3,0,19.90389
99,TestTotalAgent_Origin(Clone),0,3,36,4,1,1236.209
100,TestControllerAgent_Origin(Clone),1,4,18,3,0,12.11869
100,TestTotalAgent_Origin(Clone),0,3,20,4,1,1248.329
101,TestControllerAgent_Origin(Clone),1,4,15,0,0,10.07624
101,TestTotalAgent_Origin(Clone),0,0,20,4,1,1258.405
102,TestControllerAgent_Origin(Clone),1,4,15,0,0,9.789209
102,TestTotalAgent_Origin(Clone),0,0,18,4,1,1268.194
103,TestControllerAgent_Origin(Clone),1,4,8,0,0,7.804075
103,TestTotalAgent_Origin(Clone),0,0,15,4,1,1275.998
104,TestControllerAgent_Origin(Clone),1,4,25,2,0,14.91381
104,TestTotalAgent_Origin(Clone),0,2,27,4,1,1290.913
105,TestControllerAgent_Origin(Clone),1,4,21,3,0,12.78528
105,TestTotalAgent_Origin(Clone),0,3,22,4,1,1303.698
106,TestControllerAgent_Origin(Clone),0,3,20,4,1,11.92439
106,TestTotalAgent_Origin(Clone),1,4,19,3,0,1315.622
107,TestControllerAgent_Origin(Clone),0,1,20,4,1,10.79553
107,TestTotalAgent_Origin(Clone),1,4,17,1,0,1326.417
108,TestControllerAgent_Origin(Clone),0,1,9,4,1,4.748329
108,TestTotalAgent_Origin(Clone),1,4,5,1,0,1331.165
109,TestControllerAgent_Origin(Clone),0,1,19,4,1,10.37652
109,TestTotalAgent_Origin(Clone),1,4,16,1,0,1341.542
110,TestControllerAgent_Origin(Clone),0,1,18,4,1,9.839911
110,TestTotalAgent_Origin(Clone),1,4,15,1,0,1351.381
111,TestControllerAgent_Origin(Clone),0,2,22,4,1,11.90909
111,TestTotalAgent_Origin(Clone),1,4,19,2,0,1363.291
112,TestControllerAgent_Origin(Clone),1,4,29,1,0,16.91642
112,TestTotalAgent_Origin(Clone),0,1,31,4,1,1380.208
113,TestControllerAgent_Origin(Clone),0,2,26,4,1,14.5064
113,TestTotalAgent_Origin(Clone),1,4,25,2,0,1394.714
114,TestControllerAgent_Origin(Clone),1,4,15,0,0,12.02463
114,TestTotalAgent_Origin(Clone),0,0,22,4,1,1406.739
115,TestControllerAgent_Origin(Clone),0,3,29,4,1,16.49372
115,TestTotalAgent_Origin(Clone),1,4,29,3,0,1423.234
116,TestControllerAgent_Origin(Clone),1,4,19,3,0,11.96408
116,TestTotalAgent_Origin(Clone),0,3,20,4,1,1435.198
117,TestControllerAgent_Origin(Clone),1,4,13,2,0,8.56363
117,TestTotalAgent_Origin(Clone),0,2,14,4,1,1443.761
118,TestControllerAgent_Origin(Clone),0,3,29,4,1,17.26144
118,TestTotalAgent_Origin(Clone),1,4,29,3,0,1461.023
119,TestControllerAgent_Origin(Clone),1,4,13,0,0,8.16961
119,TestTotalAgent_Origin(Clone),0,0,15,4,1,1469.193
120,TestControllerAgent_Origin(Clone),1,4,7,1,0,5.887528
120,TestTotalAgent_Origin(Clone),0,1,10,4,1,1475.081
121,TestControllerAgent_Origin(Clone),0,0,25,4,1,13.50744
121,TestTotalAgent_Origin(Clone),1,4,23,0,0,1488.588
122,TestControllerAgent_Origin(Clone),1,4,31,2,0,17.80378
122,TestTotalAgent_Origin(Clone),0,2,32,4,1,1506.392
123,TestControllerAgent_Origin(Clone),0,0,25,4,1,12.66962
123,TestTotalAgent_Origin(Clone),1,4,20,0,0,1519.06
124,TestControllerAgent_Origin(Clone),1,4,5,0,0,4.399337
124,TestTotalAgent_Origin(Clone),0,0,8,4,1,1523.46
125,TestControllerAgent_Origin(Clone),1,4,17,0,0,10.96414
125,TestTotalAgent_Origin(Clone),0,0,21,4,1,1534.424
126,TestControllerAgent_Origin(Clone),0,2,12,4,1,7.33999
126,TestTotalAgent_Origin(Clone),1,4,11,2,0,1541.764
127,TestControllerAgent_Origin(Clone),1,4,22,2,0,12.96534
127,TestTotalAgent_Origin(Clone),0,2,23,4,1,1554.729
128,TestControllerAgent_Origin(Clone),0,2,15,4,1,9.271036
128,TestTotalAgent_Origin(Clone),1,4,14,2,0,1564
129,TestControllerAgent_Origin(Clone),1,4,30,3,0,16.983
129,TestTotalAgent_Origin(Clone),0,3,29,4,1,1580.983
130,TestControllerAgent_Origin(Clone),0,2,31,4,1,17.05693
130,TestTotalAgent_Origin(Clone),1,4,29,2,0,1598.04
131,TestControllerAgent_Origin(Clone),1,4,17,3,0,10.73565
131,TestTotalAgent_Origin(Clone),0,3,17,4,1,1608.776
132,TestControllerAgent_Origin(Clone),1,4,17,0,0,12.65195
132,TestTotalAgent_Origin(Clone),0,0,25,4,1,1621.427
133,TestControllerAgent_Origin(Clone),1,4,31,2,0,17.88364
133,TestTotalAgent_Origin(Clone),0,2,32,4,1,1639.31
134,TestControllerAgent_Origin(Clone),0,3,17,4,1,10.43144
134,TestTotalAgent_Origin(Clone),1,4,17,3,0,1649.742
135,TestControllerAgent_Origin(Clone),0,3,29,4,1,16.32826
135,TestTotalAgent_Origin(Clone),1,4,27,3,0,1666.069
136,TestControllerAgent_Origin(Clone),1,4,37,3,0,20.94997
136,TestTotalAgent_Origin(Clone),0,3,37,4,1,1687.02
137,TestControllerAgent_Origin(Clone),1,4,22,2,0,13.37514
137,TestTotalAgent_Origin(Clone),0,2,23,4,1,1700.394
138,TestControllerAgent_Origin(Clone),0,0,18,4,1,9.505648
138,TestTotalAgent_Origin(Clone),1,4,14,0,0,1709.899
139,TestControllerAgent_Origin(Clone),1,4,30,2,0,16.99164
139,TestTotalAgent_Origin(Clone),0,2,30,4,1,1726.89
140,TestControllerAgent_Origin(Clone),1,4,43,2,0,24.0271
140,TestTotalAgent_Origin(Clone),0,2,45,4,1,1750.917
141,TestControllerAgent_Origin(Clone),0,2,17,4,1,10.46212
141,TestTotalAgent_Origin(Clone),1,4,17,2,0,1761.379
142,TestControllerAgent_Origin(Clone),1,4,15,0,0,11.16839
142,TestTotalAgent_Origin(Clone),0,0,21,4,1,1772.548
143,TestControllerAgent_Origin(Clone),1,4,15,0,0,11.73728
143,TestTotalAgent_Origin(Clone),0,0,22,4,1,1784.285
144,TestControllerAgent_Origin(Clone),0,0,26,4,1,13.22704
144,TestTotalAgent_Origin(Clone),1,4,22,0,0,1797.512
145,TestControllerAgent_Origin(Clone),1,4,39,3,0,21.74182
145,TestTotalAgent_Origin(Clone),0,3,38,4,1,1819.253
146,TestControllerAgent_Origin(Clone),1,4,28,2,0,16.31992
146,TestTotalAgent_Origin(Clone),0,2,29,4,1,1835.574
