열1,열2,열3,열4,열5,열6,열7,열8
86,TestTotalAgent_MissReward(Clone),1,4,75,3,0,963.6372
87,TestControllerAgent_MissReward(Clone),1,4,9,1,0,8.02485
87,TestTotalAgent_MissReward(Clone),0,1,14,4,1,971.6622
88,TestControllerAgent_MissReward(Clone),1,4,10,2,0,7.002367
88,TestTotalAgent_MissReward(Clone),0,2,11,4,1,978.6648
89,TestControllerAgent_MissReward(Clone),1,4,7,3,0,11.9048
89,TestTotalAgent_MissReward(Clone),0,3,18,4,1,990.5696
90,TestControllerAgent_MissReward(Clone),0,2,8,4,1,5.466539
90,TestTotalAgent_MissReward(Clone),1,4,7,2,0,996.0361
91,TestControllerAgent_MissReward(Clone),1,4,5,0,0,4.408968
91,TestTotalAgent_MissReward(Clone),0,0,8,4,1,1000.445
92,TestControllerAgent_MissReward(Clone),1,4,6,0,0,5.019629
92,TestTotalAgent_MissReward(Clone),0,0,10,4,1,1005.465
93,TestControllerAgent_MissReward(Clone),1,4,6,2,0,5.024424
93,TestTotalAgent_MissReward(Clone),0,2,7,4,1,1010.489
94,TestControllerAgent_MissReward(Clone),0,3,9,4,1,10.72035
94,TestTotalAgent_MissReward(Clone),1,4,17,3,0,1021.209
95,TestControllerAgent_MissReward(Clone),1,4,7,2,0,6.834579
95,TestTotalAgent_MissReward(Clone),0,2,11,4,1,1028.044
96,TestControllerAgent_MissReward(Clone),1,4,4,1,0,3.911134
96,TestTotalAgent_MissReward(Clone),0,1,7,4,1,1031.955
97,TestControllerAgent_MissReward(Clone),0,2,7,4,1,5.113856
97,TestTotalAgent_MissReward(Clone),1,4,6,2,0,1037.069
98,TestControllerAgent_MissReward(Clone),1,4,15,0,0,9.152719
98,TestTotalAgent_MissReward(Clone),0,0,17,4,1,1046.222
99,TestControllerAgent_MissReward(Clone),0,1,16,4,1,15.18063
99,TestTotalAgent_MissReward(Clone),1,4,25,1,0,1061.402
100,TestControllerAgent_MissReward(Clone),1,4,4,1,0,4.192708
100,TestTotalAgent_MissReward(Clone),0,1,7,4,1,1065.595
101,TestControllerAgent_MissReward(Clone),1,4,4,3,0,4.452203
101,TestTotalAgent_MissReward(Clone),0,3,6,4,1,1070.048
102,TestControllerAgent_MissReward(Clone),1,4,8,0,0,6.108781
102,TestTotalAgent_MissReward(Clone),0,0,11,4,1,1076.157
103,TestControllerAgent_MissReward(Clone),1,4,4,3,0,4.076877
103,TestTotalAgent_MissReward(Clone),0,3,5,4,1,1080.234
104,TestControllerAgent_MissReward(Clone),0,2,8,4,1,6.711863
104,TestTotalAgent_MissReward(Clone),1,4,10,2,0,1086.946
105,TestControllerAgent_MissReward(Clone),1,4,6,2,0,4.731445
105,TestTotalAgent_MissReward(Clone),0,2,7,4,1,1091.678
106,TestControllerAgent_MissReward(Clone),1,4,6,0,0,5.015723
106,TestTotalAgent_MissReward(Clone),0,0,9,4,1,1096.694
107,TestControllerAgent_MissReward(Clone),1,4,46,1,0,29.70262
107,TestTotalAgent_MissReward(Clone),0,1,57,4,1,1126.396
108,TestControllerAgent_MissReward(Clone),0,3,50,4,1,27.16715
108,TestTotalAgent_MissReward(Clone),1,4,49,3,0,1153.563
109,TestControllerAgent_MissReward(Clone),0,3,14,4,1,13.66782
109,TestTotalAgent_MissReward(Clone),1,4,22,3,0,1167.23
110,TestControllerAgent_MissReward(Clone),1,4,14,2,0,8.554275
110,TestTotalAgent_MissReward(Clone),0,2,14,4,1,1175.784
111,TestControllerAgent_MissReward(Clone),1,4,13,1,0,8.617597
111,TestTotalAgent_MissReward(Clone),0,1,16,4,1,1184.402
112,TestControllerAgent_MissReward(Clone),0,2,5,4,1,3.750049
112,TestTotalAgent_MissReward(Clone),1,4,4,2,0,1188.152
113,TestControllerAgent_MissReward(Clone),1,4,7,1,0,6.740921
113,TestTotalAgent_MissReward(Clone),0,1,11,4,1,1194.893
114,TestControllerAgent_MissReward(Clone),1,4,5,3,0,4.431746
114,TestTotalAgent_MissReward(Clone),0,3,6,4,1,1199.325
115,TestControllerAgent_MissReward(Clone),0,3,2,4,1,21.81957
115,TestTotalAgent_MissReward(Clone),1,4,33,3,0,1221.145
116,TestControllerAgent_MissReward(Clone),1,4,11,1,0,7.270572
116,TestTotalAgent_MissReward(Clone),0,1,13,4,1,1228.416
117,TestControllerAgent_MissReward(Clone),1,4,8,3,0,5.985114
117,TestTotalAgent_MissReward(Clone),0,3,8,4,1,1234.401
118,TestControllerAgent_MissReward(Clone),1,4,8,0,0,6.139618
118,TestTotalAgent_MissReward(Clone),0,0,12,4,1,1240.54
119,TestControllerAgent_MissReward(Clone),0,1,6,4,1,6.196218
119,TestTotalAgent_MissReward(Clone),1,4,8,1,0,1246.736
120,TestControllerAgent_MissReward(Clone),0,1,9,4,1,4.50048
120,TestTotalAgent_MissReward(Clone),1,4,5,1,0,1251.237
121,TestControllerAgent_MissReward(Clone),1,4,8,2,0,6.055811
121,TestTotalAgent_MissReward(Clone),0,2,9,4,1,1257.293
122,TestControllerAgent_MissReward(Clone),0,2,14,4,1,8.388738
122,TestTotalAgent_MissReward(Clone),1,4,13,2,0,1265.681
123,TestControllerAgent_MissReward(Clone),1,4,5,1,0,4.174875
123,TestTotalAgent_MissReward(Clone),0,1,7,4,1,1269.856
124,TestControllerAgent_MissReward(Clone),0,3,86,0,0,60.03345
124,TestTotalAgent_MissReward(Clone),0,0,114,3,0,1329.815
125,TestControllerAgent_MissReward(Clone),0,2,6,4,1,17.12617
125,TestTotalAgent_MissReward(Clone),1,4,29,2,0,1347.016
126,TestControllerAgent_MissReward(Clone),0,1,1,4,1,6.67541
126,TestTotalAgent_MissReward(Clone),1,4,9,1,0,1353.691
127,TestControllerAgent_MissReward(Clone),1,4,9,0,0,6.01485
127,TestTotalAgent_MissReward(Clone),0,0,11,4,1,1359.706
128,TestControllerAgent_MissReward(Clone),0,1,5,4,1,8.346765
128,TestTotalAgent_MissReward(Clone),1,4,12,1,0,1368.053
129,TestControllerAgent_MissReward(Clone),0,1,6,4,1,11.63635
129,TestTotalAgent_MissReward(Clone),1,4,18,1,0,1379.689
130,TestControllerAgent_MissReward(Clone),0,3,80,4,1,55.88358
130,TestTotalAgent_MissReward(Clone),1,4,103,3,0,1435.574
131,TestControllerAgent_MissReward(Clone),1,4,11,0,0,7.976089
131,TestTotalAgent_MissReward(Clone),0,0,15,4,1,1443.55
132,TestControllerAgent_MissReward(Clone),1,4,24,0,0,17.46892
132,TestTotalAgent_MissReward(Clone),0,0,34,4,1,1461.019
133,TestControllerAgent_MissReward(Clone),0,3,15,4,1,11.39378
133,TestTotalAgent_MissReward(Clone),1,4,18,3,0,1472.412
134,TestControllerAgent_MissReward(Clone),0,2,14,4,1,8.339606
134,TestTotalAgent_MissReward(Clone),1,4,12,2,0,1480.751
135,TestControllerAgent_MissReward(Clone),1,4,63,3,0,38.23843
135,TestTotalAgent_MissReward(Clone),0,3,70,4,1,1518.991
136,TestControllerAgent_MissReward(Clone),1,4,3,0,0,3.466478
136,TestTotalAgent_MissReward(Clone),0,0,7,4,1,1522.458
137,TestControllerAgent_MissReward(Clone),1,4,10,0,0,7.002683
137,TestTotalAgent_MissReward(Clone),0,0,14,4,1,1529.46
138,TestControllerAgent_MissReward(Clone),0,2,14,4,1,9.595707
138,TestTotalAgent_MissReward(Clone),1,4,14,2,0,1539.056
139,TestControllerAgent_MissReward(Clone),1,4,5,2,0,4.735765
139,TestTotalAgent_MissReward(Clone),0,2,6,4,1,1543.792
140,TestControllerAgent_MissReward(Clone),0,0,3,4,1,4.617724
140,TestTotalAgent_MissReward(Clone),1,4,6,0,0,1548.409
141,TestControllerAgent_MissReward(Clone),0,2,44,4,1,26.27096
141,TestTotalAgent_MissReward(Clone),1,4,46,2,0,1574.68
142,TestControllerAgent_MissReward(Clone),1,4,31,3,0,18.62449
142,TestTotalAgent_MissReward(Clone),0,3,33,4,1,1593.305
143,TestControllerAgent_MissReward(Clone),0,0,3,4,1,8.243208
143,TestTotalAgent_MissReward(Clone),1,4,12,0,0,1601.548
144,TestControllerAgent_MissReward(Clone),0,2,11,4,1,11.05794
144,TestTotalAgent_MissReward(Clone),1,4,17,2,0,1612.606
145,TestControllerAgent_MissReward(Clone),1,4,15,1,0,9.022141
145,TestTotalAgent_MissReward(Clone),0,1,15,4,1,1621.628
146,TestControllerAgent_MissReward(Clone),1,4,13,0,0,8.457571
146,TestTotalAgent_MissReward(Clone),0,0,17,4,1,1630.085
147,TestControllerAgent_MissReward(Clone),1,4,19,1,0,12.46549
147,TestTotalAgent_MissReward(Clone),0,1,23,4,1,1642.551
148,TestControllerAgent_MissReward(Clone),0,0,33,4,1,17.19305
148,TestTotalAgent_MissReward(Clone),1,4,30,0,0,1659.744
149,TestControllerAgent_MissReward(Clone),0,2,1,4,1,6.642723
149,TestTotalAgent_MissReward(Clone),1,4,8,2,0,1666.385
150,TestControllerAgent_MissReward(Clone),1,4,21,3,0,12.20324
150,TestTotalAgent_MissReward(Clone),0,3,20,4,1,1678.589
151,TestControllerAgent_MissReward(Clone),0,2,6,4,1,9.43751
151,TestTotalAgent_MissReward(Clone),1,4,13,2,0,1688.026
152,TestControllerAgent_MissReward(Clone),0,1,3,4,1,7.299607
152,TestTotalAgent_MissReward(Clone),1,4,10,1,0,1695.325
153,TestControllerAgent_MissReward(Clone),1,4,2,1,0,3.249827
153,TestTotalAgent_MissReward(Clone),0,1,5,4,1,1698.575
154,TestControllerAgent_MissReward(Clone),0,2,7,4,1,5.599472
154,TestTotalAgent_MissReward(Clone),1,4,7,2,0,1704.175
155,TestControllerAgent_MissReward(Clone),1,4,7,2,0,5.335551
155,TestTotalAgent_MissReward(Clone),0,2,8,4,1,1709.51
156,TestControllerAgent_MissReward(Clone),0,1,16,4,1,27.00923
156,TestTotalAgent_MissReward(Clone),1,4,47,1,0,1736.52
157,TestControllerAgent_MissReward(Clone),1,4,6,2,0,9.943325
157,TestTotalAgent_MissReward(Clone),0,2,17,4,1,1746.463
158,TestControllerAgent_MissReward(Clone),1,4,6,2,0,9.726724
158,TestTotalAgent_MissReward(Clone),0,2,14,4,1,1756.19
159,TestControllerAgent_MissReward(Clone),1,4,11,1,0,9.672803
159,TestTotalAgent_MissReward(Clone),0,1,18,4,1,1765.863
160,TestControllerAgent_MissReward(Clone),1,4,7,1,0,5.55341
160,TestTotalAgent_MissReward(Clone),0,1,9,4,1,1771.417
161,TestControllerAgent_MissReward(Clone),0,2,6,4,1,5.059857
161,TestTotalAgent_MissReward(Clone),1,4,7,2,0,1776.476
162,TestControllerAgent_MissReward(Clone),1,4,6,2,0,4.454278
162,TestTotalAgent_MissReward(Clone),0,2,6,4,1,1780.931
163,TestControllerAgent_MissReward(Clone),1,4,6,2,0,7.487284
163,TestTotalAgent_MissReward(Clone),0,2,12,4,1,1788.418
164,TestControllerAgent_MissReward(Clone),1,4,6,3,0,5.581664
164,TestTotalAgent_MissReward(Clone),0,3,8,4,1,1794
165,TestControllerAgent_MissReward(Clone),1,4,3,2,0,3.408873
165,TestTotalAgent_MissReward(Clone),0,2,4,4,1,1797.408
166,TestControllerAgent_MissReward(Clone),1,4,6,3,0,5.041997
166,TestTotalAgent_MissReward(Clone),0,3,7,4,1,1802.45
167,TestControllerAgent_MissReward(Clone),0,1,26,4,1,21.60037
167,TestTotalAgent_MissReward(Clone),1,4,36,1,0,1824.051
168,TestControllerAgent_MissReward(Clone),1,4,6,1,0,6.111413
168,TestTotalAgent_MissReward(Clone),0,1,10,4,1,1830.162
169,TestControllerAgent_MissReward(Clone),0,3,93,2,0,60.03365
169,TestTotalAgent_MissReward(Clone),0,2,114,3,0,1890.132
170,TestControllerAgent_MissReward(Clone),0,1,4,4,1,10.05346
170,TestTotalAgent_MissReward(Clone),1,4,16,1,0,1900.25
171,TestControllerAgent_MissReward(Clone),1,4,33,2,0,19.81357
171,TestTotalAgent_MissReward(Clone),0,2,35,4,1,1920.064
172,TestControllerAgent_MissReward(Clone),1,4,28,3,0,17.30721
172,TestTotalAgent_MissReward(Clone),0,3,31,4,1,1937.37
173,TestControllerAgent_MissReward(Clone),1,4,15,2,0,9.705543
173,TestTotalAgent_MissReward(Clone),0,2,16,4,1,1947.075
174,TestControllerAgent_MissReward(Clone),1,4,3,1,0,3.445209
174,TestTotalAgent_MissReward(Clone),0,1,6,4,1,1950.52
175,TestControllerAgent_MissReward(Clone),1,4,17,1,0,10.73622
175,TestTotalAgent_MissReward(Clone),0,1,20,4,1,1961.256
176,TestControllerAgent_MissReward(Clone),1,4,25,0,0,16.93505
176,TestTotalAgent_MissReward(Clone),0,0,33,4,1,1978.192
177,TestControllerAgent_MissReward(Clone),0,2,95,4,1,52.64491
177,TestTotalAgent_MissReward(Clone),1,4,98,2,0,2030.836
178,TestControllerAgent_MissReward(Clone),1,4,9,2,0,6.200479
178,TestTotalAgent_MissReward(Clone),0,2,9,4,1,2037.036
179,TestControllerAgent_MissReward(Clone),1,4,59,1,0,43.49403
179,TestTotalAgent_MissReward(Clone),0,1,84,4,1,2080.529
180,TestControllerAgent_MissReward(Clone),1,4,14,2,0,9.047245
180,TestTotalAgent_MissReward(Clone),0,2,15,4,1,2089.576
181,TestControllerAgent_MissReward(Clone),1,4,29,0,0,21.81589
181,TestTotalAgent_MissReward(Clone),0,0,43,4,1,2111.392
182,TestControllerAgent_MissReward(Clone),1,4,10,0,0,7.111018
182,TestTotalAgent_MissReward(Clone),0,0,14,4,1,2118.502
183,TestControllerAgent_MissReward(Clone),1,4,6,1,0,5.035192
183,TestTotalAgent_MissReward(Clone),0,1,8,4,1,2123.536
184,TestControllerAgent_MissReward(Clone),1,4,13,2,0,8.528382
184,TestTotalAgent_MissReward(Clone),0,2,14,4,1,2132.066
185,TestControllerAgent_MissReward(Clone),1,4,1,1,0,2.471209
185,TestTotalAgent_MissReward(Clone),0,1,4,4,1,2134.537
186,TestControllerAgent_MissReward(Clone),1,4,4,0,0,3.950445
186,TestTotalAgent_MissReward(Clone),0,0,8,4,1,2138.488
187,TestControllerAgent_MissReward(Clone),1,4,35,3,0,25.43985
187,TestTotalAgent_MissReward(Clone),0,3,47,4,1,2163.927
188,TestControllerAgent_MissReward(Clone),1,4,8,0,0,5.981563
188,TestTotalAgent_MissReward(Clone),0,0,11,4,1,2169.908
189,TestControllerAgent_MissReward(Clone),1,4,4,2,0,5.664945
189,TestTotalAgent_MissReward(Clone),0,2,9,4,1,2175.573
190,TestControllerAgent_MissReward(Clone),0,0,10,4,1,5.681195
190,TestTotalAgent_MissReward(Clone),1,4,8,0,0,2181.254
191,TestControllerAgent_MissReward(Clone),0,3,12,4,1,18.11984
191,TestTotalAgent_MissReward(Clone),1,4,30,3,0,2199.373
192,TestControllerAgent_MissReward(Clone),1,4,50,1,0,29.32152
192,TestTotalAgent_MissReward(Clone),0,1,56,4,1,2228.695
193,TestControllerAgent_MissReward(Clone),0,3,3,4,1,2.897017
193,TestTotalAgent_MissReward(Clone),1,4,2,3,0,2231.592
