열1,열2,열3,열4,열5,열6,열7,열8
61,TestTotalAgent_MissReward(Clone),0,2,71,4,1,1367.475
62,TestControllerAgent_MissReward(Clone),1,4,4,0,0,4.019253
62,TestTotalAgent_MissReward(Clone),0,0,7,4,1,1371.494
63,TestControllerAgent_MissReward(Clone),1,4,17,0,0,10.53824
63,TestTotalAgent_MissReward(Clone),0,0,20,4,1,1382.032
64,TestControllerAgent_MissReward(Clone),1,4,50,2,0,27.91511
64,TestTotalAgent_MissReward(Clone),0,2,52,4,1,1409.947
65,TestControllerAgent_MissReward(Clone),1,4,4,0,0,4.014304
65,TestTotalAgent_MissReward(Clone),0,0,8,4,1,1413.962
66,TestControllerAgent_MissReward(Clone),1,4,103,2,0,57.59552
66,TestTotalAgent_MissReward(Clone),0,2,108,4,1,1471.557
67,TestControllerAgent_MissReward(Clone),1,4,50,0,0,29.71875
67,TestTotalAgent_MissReward(Clone),0,0,57,4,1,1501.275
68,TestControllerAgent_MissReward(Clone),1,4,10,0,0,6.996938
68,TestTotalAgent_MissReward(Clone),0,0,13,4,1,1508.272
69,TestControllerAgent_MissReward(Clone),1,4,24,0,0,14.04761
69,TestTotalAgent_MissReward(Clone),0,0,27,4,1,1522.32
70,TestControllerAgent_MissReward(Clone),1,4,20,0,0,12.29002
70,TestTotalAgent_MissReward(Clone),0,0,24,4,1,1534.609
71,TestControllerAgent_MissReward(Clone),1,4,67,0,0,39.80653
71,TestTotalAgent_MissReward(Clone),0,0,76,4,1,1574.415
72,TestControllerAgent_MissReward(Clone),0,1,45,4,1,23.41417
72,TestTotalAgent_MissReward(Clone),1,4,42,1,0,1597.83
73,TestControllerAgent_MissReward(Clone),0,1,104,2,0,60.02401
73,TestTotalAgent_MissReward(Clone),0,2,112,1,0,1657.855
74,TestControllerAgent_MissReward(Clone),1,4,39,0,0,21.64353
74,TestTotalAgent_MissReward(Clone),0,0,42,4,1,1679.498
75,TestControllerAgent_MissReward(Clone),1,4,65,2,0,35.83762
75,TestTotalAgent_MissReward(Clone),0,2,67,4,1,1715.335
76,TestControllerAgent_MissReward(Clone),1,4,30,2,0,17.05688
76,TestTotalAgent_MissReward(Clone),0,2,30,4,1,1732.392
77,TestControllerAgent_MissReward(Clone),1,4,28,0,0,16.86856
77,TestTotalAgent_MissReward(Clone),0,0,32,4,1,1749.262
78,TestControllerAgent_MissReward(Clone),1,4,29,0,0,16.67385
78,TestTotalAgent_MissReward(Clone),0,0,31,4,1,1765.935
79,TestControllerAgent_MissReward(Clone),0,1,102,2,0,60.00109
79,TestTotalAgent_MissReward(Clone),0,2,114,1,0,1825.933
80,TestControllerAgent_MissReward(Clone),1,4,19,2,0,15.1297
80,TestTotalAgent_MissReward(Clone),0,2,28,4,1,1841.063
81,TestControllerAgent_MissReward(Clone),1,4,22,2,0,13.0128
81,TestTotalAgent_MissReward(Clone),0,2,23,4,1,1854.077
82,TestControllerAgent_MissReward(Clone),1,4,11,0,0,7.980644
82,TestTotalAgent_MissReward(Clone),0,0,15,4,1,1862.058
83,TestControllerAgent_MissReward(Clone),1,4,8,0,0,6.012566
83,TestTotalAgent_MissReward(Clone),0,0,11,4,1,1868.07
84,TestControllerAgent_MissReward(Clone),1,4,22,2,0,14.64118
84,TestTotalAgent_MissReward(Clone),0,2,26,4,1,1882.712
85,TestControllerAgent_MissReward(Clone),1,4,24,0,0,14.04295
85,TestTotalAgent_MissReward(Clone),0,0,28,4,1,1896.755
86,TestControllerAgent_MissReward(Clone),1,4,61,2,0,34.99926
86,TestTotalAgent_MissReward(Clone),0,2,64,4,1,1931.754
87,TestControllerAgent_MissReward(Clone),1,4,17,0,0,10.50576
87,TestTotalAgent_MissReward(Clone),0,0,21,4,1,1942.26
88,TestControllerAgent_MissReward(Clone),1,4,38,0,0,26.89583
88,TestTotalAgent_MissReward(Clone),0,0,49,4,1,1969.154
89,TestControllerAgent_MissReward(Clone),1,4,64,2,0,35.277
89,TestTotalAgent_MissReward(Clone),0,2,66,4,1,2004.431
90,TestControllerAgent_MissReward(Clone),1,4,7,2,0,5.500056
90,TestTotalAgent_MissReward(Clone),0,2,9,4,1,2009.931
91,TestControllerAgent_MissReward(Clone),1,4,26,0,0,15.41739
91,TestTotalAgent_MissReward(Clone),0,0,29,4,1,2025.348
92,TestControllerAgent_MissReward(Clone),1,4,17,0,0,12.98151
92,TestTotalAgent_MissReward(Clone),0,0,24,4,1,2038.33
93,TestControllerAgent_MissReward(Clone),1,4,16,0,0,10.09443
93,TestTotalAgent_MissReward(Clone),0,0,19,4,1,2048.424
94,TestControllerAgent_MissReward(Clone),1,4,40,1,0,22.35574
94,TestTotalAgent_MissReward(Clone),0,1,43,4,1,2070.781
95,TestControllerAgent_MissReward(Clone),1,4,27,0,0,15.58981
95,TestTotalAgent_MissReward(Clone),0,0,30,4,1,2086.372
96,TestControllerAgent_MissReward(Clone),1,4,17,0,0,13.07648
96,TestTotalAgent_MissReward(Clone),0,0,24,4,1,2099.449
97,TestControllerAgent_MissReward(Clone),1,4,10,1,0,7.00726
97,TestTotalAgent_MissReward(Clone),0,1,13,4,1,2106.456
98,TestControllerAgent_MissReward(Clone),1,4,44,1,0,31.498
98,TestTotalAgent_MissReward(Clone),0,1,57,4,1,2137.955
99,TestControllerAgent_MissReward(Clone),1,4,7,1,0,5.459845
99,TestTotalAgent_MissReward(Clone),0,1,9,4,1,2143.415
100,TestControllerAgent_MissReward(Clone),1,4,20,0,0,12.00625
100,TestTotalAgent_MissReward(Clone),0,0,23,4,1,2155.422
101,TestControllerAgent_MissReward(Clone),1,4,11,0,0,8.191026
101,TestTotalAgent_MissReward(Clone),0,0,15,4,1,2163.614
102,TestControllerAgent_MissReward(Clone),1,4,5,0,0,4.514122
102,TestTotalAgent_MissReward(Clone),0,0,8,4,1,2168.127
103,TestControllerAgent_MissReward(Clone),1,4,41,1,0,26.28696
103,TestTotalAgent_MissReward(Clone),0,1,48,4,1,2194.414
104,TestControllerAgent_MissReward(Clone),1,4,18,1,0,10.90633
104,TestTotalAgent_MissReward(Clone),0,1,21,4,1,2205.32
105,TestControllerAgent_MissReward(Clone),1,4,28,0,0,17.87531
105,TestTotalAgent_MissReward(Clone),0,0,32,4,1,2223.196
106,TestControllerAgent_MissReward(Clone),0,0,113,0,0,60.01382
106,TestTotalAgent_MissReward(Clone),0,0,115,0,0,2283.213
107,TestControllerAgent_MissReward(Clone),1,4,43,0,0,25.93343
107,TestTotalAgent_MissReward(Clone),0,0,49,4,1,2309.145
108,TestControllerAgent_MissReward(Clone),1,4,79,3,0,45.15643
108,TestTotalAgent_MissReward(Clone),0,3,83,4,1,2354.299
109,TestControllerAgent_MissReward(Clone),1,4,41,0,0,27.2565
109,TestTotalAgent_MissReward(Clone),0,0,51,4,1,2381.555
110,TestControllerAgent_MissReward(Clone),0,0,109,0,0,60.09996
110,TestTotalAgent_MissReward(Clone),0,0,116,0,0,2441.656
111,TestControllerAgent_MissReward(Clone),0,2,97,0,0,60.03756
111,TestTotalAgent_MissReward(Clone),0,0,115,2,0,2501.692
112,TestControllerAgent_MissReward(Clone),1,4,16,1,0,9.454643
112,TestTotalAgent_MissReward(Clone),0,1,18,4,1,2511.148
113,TestControllerAgent_MissReward(Clone),1,4,36,0,0,22.71694
113,TestTotalAgent_MissReward(Clone),0,0,43,4,1,2533.865
114,TestControllerAgent_MissReward(Clone),1,4,21,0,0,12.52875
114,TestTotalAgent_MissReward(Clone),0,0,24,4,1,2546.394
115,TestControllerAgent_MissReward(Clone),1,4,11,0,0,8.351347
115,TestTotalAgent_MissReward(Clone),0,0,16,4,1,2554.745
116,TestControllerAgent_MissReward(Clone),1,4,25,1,0,16.41234
116,TestTotalAgent_MissReward(Clone),0,1,29,4,1,2571.157
117,TestControllerAgent_MissReward(Clone),1,4,22,0,0,14.40838
117,TestTotalAgent_MissReward(Clone),0,0,27,4,1,2585.566
118,TestControllerAgent_MissReward(Clone),1,4,53,1,0,32.87434
118,TestTotalAgent_MissReward(Clone),0,1,62,4,1,2618.439
119,TestControllerAgent_MissReward(Clone),1,4,45,0,0,26.15805
119,TestTotalAgent_MissReward(Clone),0,0,51,4,1,2644.596
120,TestControllerAgent_MissReward(Clone),1,4,15,1,0,9.917625
120,TestTotalAgent_MissReward(Clone),0,1,18,4,1,2654.515
121,TestControllerAgent_MissReward(Clone),1,4,31,0,0,23.35938
121,TestTotalAgent_MissReward(Clone),0,0,45,4,1,2677.874
122,TestControllerAgent_MissReward(Clone),1,4,45,1,0,25.71908
122,TestTotalAgent_MissReward(Clone),0,1,49,4,1,2703.592
123,TestControllerAgent_MissReward(Clone),0,0,111,0,0,60.02937
123,TestTotalAgent_MissReward(Clone),0,0,115,0,0,2763.623
124,TestControllerAgent_MissReward(Clone),1,4,21,0,0,12.39843
124,TestTotalAgent_MissReward(Clone),0,0,24,4,1,2776.021
125,TestControllerAgent_MissReward(Clone),1,4,7,1,0,5.513834
125,TestTotalAgent_MissReward(Clone),0,1,10,4,1,2781.536
126,TestControllerAgent_MissReward(Clone),1,4,66,1,0,40.32651
126,TestTotalAgent_MissReward(Clone),0,1,74,4,1,2821.861
127,TestControllerAgent_MissReward(Clone),1,4,32,0,0,18.25741
127,TestTotalAgent_MissReward(Clone),0,0,36,4,1,2840.117
128,TestControllerAgent_MissReward(Clone),1,4,11,1,0,7.646025
128,TestTotalAgent_MissReward(Clone),0,1,14,4,1,2847.762
129,TestControllerAgent_MissReward(Clone),1,4,17,1,0,10.45479
129,TestTotalAgent_MissReward(Clone),0,1,19,4,1,2858.218
130,TestControllerAgent_MissReward(Clone),1,4,22,1,0,13.09713
130,TestTotalAgent_MissReward(Clone),0,1,24,4,1,2871.314
131,TestControllerAgent_MissReward(Clone),1,4,53,0,0,35.57584
131,TestTotalAgent_MissReward(Clone),0,0,69,4,1,2906.889
132,TestControllerAgent_MissReward(Clone),1,4,19,1,0,11.53887
132,TestTotalAgent_MissReward(Clone),0,1,21,4,1,2918.428
133,TestControllerAgent_MissReward(Clone),0,0,114,1,0,60.00378
