열1,열2,열3,열4,열5,열6,열7,열8
64,TestTotalAgent_Origin(Clone),1,4,29,1,0,758.26
65,TestControllerAgent_MissReward(Clone),1,4,13,1,0,8.477766
65,TestTotalAgent_Origin(Clone),0,1,15,4,1,766.7378
66,TestControllerAgent_MissReward(Clone),1,4,20,0,0,11.85726
66,TestTotalAgent_Origin(Clone),0,0,24,4,1,778.595
67,TestControllerAgent_MissReward(Clone),1,4,8,0,0,7.346989
67,TestTotalAgent_Origin(Clone),0,0,12,4,1,785.942
68,TestControllerAgent_MissReward(Clone),1,4,6,0,0,3.969053
68,TestTotalAgent_Origin(Clone),0,0,10,4,1,789.9111
69,TestControllerAgent_MissReward(Clone),0,1,63,4,1,33.11642
69,TestTotalAgent_Origin(Clone),1,4,62,1,0,823.0273
70,TestControllerAgent_MissReward(Clone),1,4,9,0,0,6.999992
70,TestTotalAgent_Origin(Clone),0,0,12,4,1,830.0272
71,TestControllerAgent_MissReward(Clone),0,0,31,4,1,16.40957
71,TestTotalAgent_Origin(Clone),1,4,27,0,0,846.4366
72,TestControllerAgent_MissReward(Clone),0,1,20,4,1,13.78202
72,TestTotalAgent_Origin(Clone),1,4,21,1,0,860.2186
73,TestControllerAgent_MissReward(Clone),0,1,21,4,1,15.77065
73,TestTotalAgent_Origin(Clone),1,4,25,1,0,875.9893
74,TestControllerAgent_MissReward(Clone),1,4,34,1,0,18.87252
74,TestTotalAgent_Origin(Clone),0,1,35,4,1,894.8619
75,TestControllerAgent_MissReward(Clone),1,4,8,2,0,5.979932
75,TestTotalAgent_Origin(Clone),0,2,10,4,1,900.8418
76,TestControllerAgent_MissReward(Clone),1,4,22,2,0,11.28403
76,TestTotalAgent_Origin(Clone),0,2,23,4,1,912.1257
77,TestControllerAgent_MissReward(Clone),1,4,12,1,0,9.333323
77,TestTotalAgent_Origin(Clone),0,1,14,4,1,921.459
78,TestControllerAgent_MissReward(Clone),0,0,24,4,1,11.66665
78,TestTotalAgent_Origin(Clone),1,4,21,0,0,933.1255
79,TestControllerAgent_MissReward(Clone),1,4,12,2,0,6.999992
79,TestTotalAgent_Origin(Clone),0,2,12,4,1,940.1255
80,TestControllerAgent_MissReward(Clone),1,4,23,2,0,13.99999
80,TestTotalAgent_Origin(Clone),0,2,24,4,1,954.1254
81,TestControllerAgent_MissReward(Clone),1,4,43,0,0,22.97273
81,TestTotalAgent_Origin(Clone),0,0,45,4,1,977.098
82,TestControllerAgent_MissReward(Clone),0,1,30,4,1,16.33332
82,TestTotalAgent_Origin(Clone),1,4,28,1,0,993.4312
83,TestControllerAgent_MissReward(Clone),1,4,16,0,0,11.66665
83,TestTotalAgent_Origin(Clone),0,0,18,4,1,1005.098
84,TestControllerAgent_MissReward(Clone),0,3,12,4,1,6.999992
84,TestTotalAgent_Origin(Clone),1,4,12,3,0,1012.098
85,TestControllerAgent_MissReward(Clone),1,4,14,0,0,9.333323
85,TestTotalAgent_Origin(Clone),0,0,16,4,1,1021.431
86,TestControllerAgent_MissReward(Clone),1,4,22,1,0,11.66665
86,TestTotalAgent_Origin(Clone),0,1,24,4,1,1033.098
87,TestControllerAgent_MissReward(Clone),1,4,11,0,0,6.978466
87,TestTotalAgent_Origin(Clone),0,0,14,4,1,1040.076
88,TestControllerAgent_MissReward(Clone),1,4,20,3,0,13.99999
88,TestTotalAgent_Origin(Clone),0,3,20,4,1,1054.077
89,TestControllerAgent_MissReward(Clone),1,4,11,2,0,6.999992
89,TestTotalAgent_Origin(Clone),0,2,13,4,1,1061.077
90,TestControllerAgent_MissReward(Clone),0,0,15,4,1,10.30167
90,TestTotalAgent_Origin(Clone),1,4,18,0,0,1071.378
91,TestControllerAgent_MissReward(Clone),1,4,26,2,0,16.66904
91,TestTotalAgent_Origin(Clone),0,2,26,4,1,1088.048
92,TestControllerAgent_MissReward(Clone),1,4,25,1,0,14.48869
92,TestTotalAgent_Origin(Clone),0,1,26,4,1,1102.536
93,TestControllerAgent_MissReward(Clone),0,0,15,4,1,8.941084
93,TestTotalAgent_Origin(Clone),1,4,15,0,0,1111.477
94,TestControllerAgent_MissReward(Clone),1,4,16,1,0,8.264648
94,TestTotalAgent_Origin(Clone),0,1,17,4,1,1119.742
95,TestControllerAgent_MissReward(Clone),1,4,23,0,0,13.99999
95,TestTotalAgent_Origin(Clone),0,0,27,4,1,1133.742
96,TestControllerAgent_MissReward(Clone),1,4,19,2,0,11.66665
96,TestTotalAgent_Origin(Clone),0,2,21,4,1,1145.409
97,TestControllerAgent_MissReward(Clone),1,4,32,0,0,18.66665
97,TestTotalAgent_Origin(Clone),0,0,34,4,1,1164.076
98,TestControllerAgent_MissReward(Clone),0,2,16,4,1,9.333323
98,TestTotalAgent_Origin(Clone),1,4,14,2,0,1173.41
99,TestControllerAgent_MissReward(Clone),1,4,10,3,0,6.999992
99,TestTotalAgent_Origin(Clone),0,3,9,4,1,1180.41
100,TestControllerAgent_MissReward(Clone),1,4,26,0,0,13.99999
100,TestTotalAgent_Origin(Clone),0,0,29,4,1,1194.41
101,TestControllerAgent_MissReward(Clone),1,4,21,2,0,13.99999
101,TestTotalAgent_Origin(Clone),0,2,23,4,1,1208.41
102,TestControllerAgent_MissReward(Clone),1,4,13,1,0,6.999992
102,TestTotalAgent_Origin(Clone),0,1,15,4,1,1215.41
103,TestControllerAgent_MissReward(Clone),1,4,16,1,0,11.65621
103,TestTotalAgent_Origin(Clone),0,1,19,4,1,1227.067
104,TestControllerAgent_MissReward(Clone),1,4,11,2,0,6.999992
104,TestTotalAgent_Origin(Clone),0,2,12,4,1,1234.067
105,TestControllerAgent_MissReward(Clone),0,1,27,4,1,13.99999
105,TestTotalAgent_Origin(Clone),1,4,24,1,0,1248.067
106,TestControllerAgent_MissReward(Clone),0,1,42,4,1,23.29461
106,TestTotalAgent_Origin(Clone),1,4,41,1,0,1271.362
107,TestControllerAgent_MissReward(Clone),1,4,16,2,0,9.333323
107,TestTotalAgent_Origin(Clone),0,2,16,4,1,1280.696
108,TestControllerAgent_MissReward(Clone),0,2,40,4,1,22.60064
108,TestTotalAgent_Origin(Clone),1,4,40,2,0,1303.297
109,TestControllerAgent_MissReward(Clone),1,4,21,2,0,13.82243
109,TestTotalAgent_Origin(Clone),0,2,21,4,1,1317.119
110,TestControllerAgent_MissReward(Clone),1,4,12,0,0,6.999992
110,TestTotalAgent_Origin(Clone),0,0,15,4,1,1324.119
111,TestControllerAgent_MissReward(Clone),1,4,18,2,0,11.31342
111,TestTotalAgent_Origin(Clone),0,2,20,4,1,1335.433
112,TestControllerAgent_MissReward(Clone),1,4,45,2,0,27.72512
112,TestTotalAgent_Origin(Clone),0,2,49,4,1,1363.158
113,TestControllerAgent_MissReward(Clone),1,4,11,0,0,7.171006
113,TestTotalAgent_Origin(Clone),0,0,15,4,1,1370.33
114,TestControllerAgent_MissReward(Clone),1,4,22,0,0,12.68924
